TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1_4,Date
5.81,5.77,6.13,,-2.0462,1.5,-0.5,2020-02-25 01-16-25
5.49,6.03,5.71,,-2.0462,1.437,-0.5,2020-02-25 01-17-25
5.55,5.95,6.11,,-2.0462,1.5,-0.5,2020-02-25 01-18-25
5.71,5.67,5.73,,-2.0462,1.5,-0.5,2020-02-25 01-19-25
5.55,5.71,5.59,,-2.0462,1.5,-0.5,2020-02-25 01-20-25
5.73,6.17,5.51,,-2.0462,1.5,-0.5,2020-02-25 01-21-25
5.73,5.63,5.85,,-2.0462,1.5,-0.5,2020-02-25 01-22-25
6.21,5.85,6.03,,-2.0462,1.5,-0.5,2020-02-25 01-23-25
6.03,5.63,5.95,,-2.0462,1.5,-0.562,2020-02-25 01-24-25
5.99,6.25,5.71,,-2.0462,1.5,-0.5,2020-02-25 01-25-25
5.95,5.85,5.89,,-2.0462,1.562,-0.5,2020-02-25 01-26-25
5.67,5.93,5.89,,-2.0462,1.562,-0.5,2020-02-25 01-27-25
5.73,5.99,5.37,,-2.0462,1.562,-0.5,2020-02-25 01-28-25
5.85,5.99,5.73,,-2.0462,1.562,-0.562,2020-02-25 01-29-25
5.67,5.85,5.45,,-2.0462,1.562,-0.562,2020-02-25 01-30-25
5.81,5.89,5.71,,-2.0462,1.562,-0.562,2020-02-25 01-31-25
5.73,5.81,5.51,,-2.0462,1.562,-0.562,2020-02-25 01-32-25
5.95,5.89,5.95,,-2.0462,1.562,-0.562,2020-02-25 01-33-25
6.07,5.63,5.29,,-2.0462,1.562,-0.562,2020-02-25 01-34-25
5.67,5.95,5.55,,-2.0462,1.562,-0.562,2020-02-25 01-35-25
5.41,5.63,5.77,,-2.0462,1.562,-0.562,2020-02-25 01-36-25
5.67,5.77,5.81,,-2.0462,1.562,-0.625,2020-02-25 01-37-25
5.71,5.63,5.93,,-2.0462,1.562,-0.625,2020-02-25 01-38-25
5.73,5.71,6.07,,-2.0462,1.562,-0.625,2020-02-25 01-39-25
5.93,5.59,5.89,,-2.0462,1.562,-0.625,2020-02-25 01-40-25
5.73,5.71,5.73,,-2.0462,1.562,-0.625,2020-02-25 01-41-25
5.45,5.49,5.55,,-2.0462,1.625,-0.625,2020-02-25 01-42-25
5.77,5.81,6.13,,-2.0462,1.562,-0.625,2020-02-25 01-43-25
5.95,5.55,5.45,,-2.0462,1.562,-0.625,2020-02-25 01-44-25
5.89,5.71,5.71,,-2.0462,1.562,-0.625,2020-02-25 01-45-25
5.95,5.41,5.71,,-2.0462,1.562,-0.625,2020-02-25 01-46-25
