TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1_4,Date
6.29,6.29,5.81,2.58,96.712510048,3.562,1.187,2020-02-08 00-00-16
5.73,5.77,5.85,2.62,96.5250446125,3.562,1.187,2020-02-08 00-01-16
6.33,6.43,6.73,2.76,96.31060694050001,3.562,1.25,2020-02-08 00-02-17
6.29,6.43,6.33,2.78,96.04227266050002,3.562,1.187,2020-02-08 00-03-16
6.29,6.39,6.11,2.75,95.77361928050001,3.562,1.125,2020-02-08 00-04-16
5.95,6.39,6.39,2.74,95.66606858050001,3.562,1.125,2020-02-08 00-05-16
5.93,5.99,5.73,2.68,95.6122740845,3.562,1.187,2020-02-08 00-06-16
6.53,6.61,7.05,2.64,95.55846682450002,3.562,1.187,2020-02-08 00-07-17
6.17,6.47,6.47,2.6,95.58537205,3.625,1.125,2020-02-08 00-08-17
6.25,5.93,5.89,2.54,95.6122740845,3.625,1.125,2020-02-08 00-09-17
6.57,6.65,6.65,2.51,95.639172928,3.625,1.187,2020-02-08 00-10-16
5.81,6.17,6.13,2.42,95.7198503125,3.625,1.187,2020-02-08 00-11-16
6.51,6.25,5.51,2.38,95.82737548450001,3.625,1.187,2020-02-08 00-12-16
6.53,6.47,6.57,2.43,95.88111892450002,3.625,1.187,2020-02-08 00-13-16
6.29,6.13,6.17,2.38,95.88111892450002,3.562,1.187,2020-02-08 00-14-17
6.29,6.39,6.61,2.38,95.88111892450002,3.562,1.25,2020-02-08 00-15-17
6.47,6.39,6.79,2.4,95.9348496005,3.562,1.25,2020-02-08 00-16-16
6.17,6.33,6.47,2.38,96.04227266050002,3.562,1.25,2020-02-08 00-17-16
6.39,6.47,6.65,2.24,95.98856751250001,3.562,1.25,2020-02-08 00-19-16
6.33,6.51,6.35,2.18,96.0959650445,3.562,1.25,2020-02-08 00-20-17
5.71,5.95,6.07,2.06,96.31060694050001,3.562,1.25,2020-02-08 00-21-17
6.53,6.69,6.61,1.91,96.4178513045,3.625,1.187,2020-02-08 00-22-16
6.35,6.35,6.17,1.88,96.4714543405,3.625,1.125,2020-02-08 00-23-16
6.21,6.25,6.25,1.8,96.4714543405,3.625,0.937,2020-02-08 00-24-16
6.13,6.07,5.85,1.76,96.57862212050001,3.625,0.875,2020-02-08 00-25-16
5.73,5.99,5.37,1.73,96.73927806050001,3.625,0.875,2020-02-08 00-26-16
5.89,5.95,6.17,1.71,96.8998191245,3.625,0.75,2020-02-08 00-27-17
6.11,6.21,6.47,1.68,96.95330728450001,3.625,0.687,2020-02-08 00-28-17
5.71,5.89,6.11,1.68,96.9265648,3.625,0.687,2020-02-08 00-29-16
6.03,5.81,6.07,1.6,96.95330728450001,3.625,0.625,2020-02-08 00-30-16
5.19,5.89,5.73,1.58,97.033515592,3.625,0.562,2020-02-08 00-31-16
5.85,5.49,6.03,1.74,97.14041532800002,3.625,0.562,2020-02-08 00-32-16
5.55,5.85,5.81,1.9,97.16713228450001,3.625,0.562,2020-02-08 00-33-17
6.11,5.89,5.93,1.82,97.24726400800002,3.562,0.625,2020-02-08 00-34-17
6.21,5.73,5.93,1.74,97.2205566245,3.562,0.625,2020-02-08 00-35-17
5.67,5.93,5.49,1.6,97.16713228450001,3.562,0.687,2020-02-08 00-36-16
5.55,5.81,5.85,1.5,97.16713228450001,3.562,0.75,2020-02-08 00-37-16
5.99,5.85,5.95,1.68,97.2205566245,3.5,0.812,2020-02-08 00-38-16
5.77,5.49,6.03,1.74,97.3273670125,3.562,0.812,2020-02-08 00-39-16
5.81,5.95,5.95,1.9,97.3273670125,3.562,0.75,2020-02-08 00-40-17
5.19,5.89,5.59,2.01,97.27396820050001,3.5,0.75,2020-02-08 00-41-16
5.95,5.93,5.89,2.1,97.27396820050001,3.5,0.687,2020-02-08 00-42-16
5.55,5.37,6.11,2.1,97.16713228450001,3.5,0.75,2020-02-08 00-43-16
5.95,5.85,5.81,2.2,97.06024531250002,3.437,0.687,2020-02-08 00-44-16
5.99,5.95,6.03,2.16,97.033515592,3.5,0.687,2020-02-08 00-45-17
5.45,5.15,5.59,2,96.98004657800001,3.437,0.687,2020-02-08 00-46-16
5.99,5.73,6.21,1.99,97.06024531250002,3.5,0.75,2020-02-08 00-47-16
5.81,6.11,5.89,2.02,97.08697184200001,3.5,0.75,2020-02-08 00-48-16
6.07,5.67,5.89,1.94,97.06024531250002,3.5,0.687,2020-02-08 00-49-16
4.85,5.41,5.45,1.74,97.16713228450001,3.5,0.625,2020-02-08 00-51-17
5.71,5.81,5.81,1.74,97.27396820050001,3.437,0.625,2020-02-08 00-52-16
5.81,5.59,5.99,1.74,97.3273670125,3.437,0.625,2020-02-08 00-53-16
5.71,5.51,5.93,1.8,97.3273670125,3.437,0.625,2020-02-08 00-54-16
5.55,5.85,5.81,1.82,97.3273670125,3.375,0.687,2020-02-08 00-55-16
5.15,5.33,5.59,1.82,97.3273670125,3.375,0.75,2020-02-08 00-56-16
6.13,6.07,6.21,1.86,97.3273670125,3.375,0.812,2020-02-08 00-57-17
5.95,5.99,6.35,2,97.27396820050001,3.312,0.812,2020-02-08 00-58-17
6.13,5.99,6.11,2.02,97.1136951805,3.312,0.812,2020-02-08 00-59-16
5.93,5.89,5.89,2.05,97.06024531250002,3.312,0.812,2020-02-08 01-00-16
5.89,5.89,5.51,2.04,97.00678268050001,3.375,0.812,2020-02-08 01-01-16
5.59,5.71,6.21,1.96,96.8998191245,3.312,0.687,2020-02-08 01-02-16
6.07,5.95,5.67,1.92,96.68573884450001,3.312,0.562,2020-02-08 01-03-16
5.51,5.45,5.73,1.92,96.57862212050001,3.375,0.562,2020-02-08 01-04-17
5.67,5.73,5.49,2,96.4714543405,3.375,0.312,2020-02-08 01-05-17
5.05,5.51,5.41,2.1,96.36423550450002,3.375,0.375,2020-02-08 01-06-16
5.67,5.37,5.63,2.04,96.25696561250001,3.312,0.312,2020-02-08 01-07-16
5.45,5.45,5.29,2.02,96.14964466450002,3.312,0.312,2020-02-08 01-08-16
5.37,5.37,5.45,2.07,96.069120448,3.312,0.25,2020-02-08 01-09-16
5.11,5.41,5.23,1.97,95.88111892450002,3.25,0.062,2020-02-08 01-10-17
4.85,5.19,5.05,1.98,95.77361928050001,3.25,0.062,2020-02-08 01-11-17
5.05,5.29,5.15,2.04,95.82737548450001,3.25,0.062,2020-02-08 01-12-16
4.57,4.89,5.27,2.09,95.82737548450001,3.25,0.187,2020-02-08 01-13-16
5.23,5.27,5.27,2.16,95.77361928050001,3.25,0.25,2020-02-08 01-14-16
5.41,5.15,5.11,2.22,95.82737548450001,3.25,0.437,2020-02-08 01-15-16
5.07,5.15,4.89,2.26,95.82737548450001,3.187,0.5,2020-02-08 01-16-17
5.73,5.85,5.99,2.34,95.82737548450001,3.25,0.562,2020-02-08 01-17-17
5.81,5.63,5.81,2.43,95.66606858050001,3.25,0.625,2020-02-08 01-18-16
5.77,5.77,4.81,2.37,95.50464680050001,3.187,0.562,2020-02-08 01-19-16
5.85,5.55,5.73,2.33,95.34311014450002,3.25,0.5,2020-02-08 01-20-16
4.81,5.15,4.89,2.28,95.1275492405,3.25,0.437,2020-02-08 01-21-16
5.73,5.67,5.81,2.25,95.100589768,3.25,0.437,2020-02-08 01-22-16
5.07,5.63,5.51,2.24,95.1275492405,3.312,0.375,2020-02-08 01-24-17
5.63,5.71,5.55,2.24,95.208408512,3.312,0.375,2020-02-08 01-25-16
4.85,5.27,4.81,2.18,95.208408512,3.375,0.375,2020-02-08 01-26-16
