Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-14 23-00-15,12,16,31373,6.61,9.85,9.91,9.95,9.63,9.85,6.64,79.9329043205,7.062,4.75
2020-02-14 23-01-15,12,16,31374,7.01,9.75,9.57,9.75,9.81,9.57,6.64,80.0476794445,7.062,4.75
2020-02-14 23-02-15,12,16,31375,6.83,10.09,9.77,9.35,9.49,9.49,6.6,79.0704634805,7.062,4.75
2020-02-14 23-03-15,12,16,31376,6.97,10.03,10.03,10.27,9.99,10.13,6.68,78.5804722,7.062,4.875
2020-02-14 23-04-15,12,16,31377,6.91,10.09,10.05,9.85,9.95,10.13,6.69,78.89763068450002,7.062,4.875
2020-02-14 23-05-16,12,16,31378,6.35,10.03,9.89,9.71,9.95,9.85,6.7,79.3582628605,7.125,4.875
2020-02-14 23-06-16,12,16,31379,6.83,9.67,9.47,10.19,10.27,9.25,6.64,79.2431814005,7.125,4.875
2020-02-14 23-07-15,12,16,31380,6.93,9.99,9.63,9.85,9.99,9.99,6.68,79.15683680000001,7.125,4.875
2020-02-14 23-08-15,12,16,31381,6.73,9.89,9.95,10.09,10.03,9.95,6.74,79.30072851250002,7.125,4.875
2020-02-14 23-09-15,12,16,31382,6.91,10.05,10.13,9.91,10.05,10.17,6.73,79.502042888,7.125,4.875
2020-02-14 23-10-15,12,16,31383,7.11,10.17,9.95,10.19,9.99,9.77,6.72,79.5307893205,7.125,4.812
2020-02-14 23-11-15,12,16,31384,6.75,9.67,9.49,9.75,9.61,10.13,6.72,79.5882726125,7.125,4.812
2020-02-14 23-12-16,12,16,31385,6.79,10.27,10.33,10.23,10.13,10.03,6.63,78.55162046450002,7.125,4.875
2020-02-14 23-13-16,12,16,31386,6.69,9.95,9.85,9.95,9.91,9.67,6.54,77.771417408,7.187,4.875
2020-02-14 23-14-15,12,16,31387,6.75,10.05,10.09,9.89,10.17,10.03,6.54,76.8146768045,7.187,4.875
2020-02-14 23-15-15,12,16,31388,6.75,10.03,9.95,9.85,9.95,9.85,6.49,75.9418971245,7.187,4.937
2020-02-14 23-16-15,12,16,31389,6.79,10.05,9.49,9.57,9.61,9.61,6.48,74.77372348450001,7.187,5
2020-02-14 23-17-15,12,16,31390,6.97,10.31,10.33,10.05,10.31,10.23,6.48,73.6592294645,7.187,5
2020-02-14 23-18-16,12,16,31391,6.79,10.23,10.27,9.81,10.09,9.71,6.44,72.628645312,7.187,5
