TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1_6,Date
3.03,3.11,2.21,3.37,105.83511220000001,4.25,3.312,2020-03-01 00-00-21
3.03,3.11,2.27,3.36,105.80945146450001,4.25,3.312,2020-03-01 00-01-21
3.15,3.25,2.09,3.38,105.783787538,4.25,3.312,2020-03-01 00-02-21
2.85,3.11,2.31,3.42,105.70677661250002,4.187,3.375,2020-03-01 00-03-21
2.99,3.37,2.59,3.45,105.70677661250002,4.25,3.375,2020-03-01 00-04-21
2.91,3.19,2.09,3.46,105.681099922,4.25,3.375,2020-03-01 00-05-20
3.23,3.33,2.59,3.46,105.6554200405,4.25,3.437,2020-03-01 00-06-21
2.91,3.49,2.51,3.48,105.70677661250002,4.312,3.437,2020-03-01 00-07-20
2.85,3.53,2.73,3.47,105.70677661250002,4.312,3.437,2020-03-01 00-08-21
3.07,3.45,2.51,3.48,105.6554200405,4.312,3.437,2020-03-01 00-09-21
3.03,3.45,2.43,3.46,105.6554200405,4.312,3.375,2020-03-01 00-10-21
3.23,3.19,2.81,3.48,105.70677661250002,4.25,3.375,2020-03-01 00-11-21
3.15,3.45,2.59,3.4,105.681099922,4.312,3.312,2020-03-01 00-12-21
2.95,3.25,2.39,3.43,105.6554200405,4.312,3.312,2020-03-01 00-13-21
3.11,3.25,2.43,3.38,105.681099922,4.312,3.312,2020-03-01 00-14-20
3.11,3.03,2.39,3.38,105.6554200405,4.25,3.312,2020-03-01 00-15-21
3.25,3.37,2.61,3.38,105.629736968,4.312,3.312,2020-03-01 00-16-21
2.99,3.19,2.27,3.4,105.6554200405,4.312,3.312,2020-03-01 00-17-21
2.95,3.33,2.59,3.38,105.6040507045,4.25,3.25,2020-03-01 00-18-21
2.95,3.37,2.77,3.35,105.6040507045,4.25,3.187,2020-03-01 00-19-21
3.19,3.19,2.59,3.42,105.6040507045,4.25,3.25,2020-03-01 00-20-21
2.95,3.49,1.47,3.36,105.6040507045,4.312,3.25,2020-03-01 00-21-21
2.95,2.99,2.47,3.38,105.55266860450001,4.25,3.25,2020-03-01 00-22-21
3.29,3.15,2.47,3.4,105.55266860450001,4.25,3.25,2020-03-01 00-23-21
3.15,3.19,2.61,3.38,105.52697276800001,4.312,3.25,2020-03-01 00-24-21
2.73,3.15,2.43,3.32,105.55266860450001,4.312,3.187,2020-03-01 00-25-21
2.95,3.07,2.65,3.3,105.52697276800001,4.25,3.187,2020-03-01 00-26-21
2.99,3.15,2.27,3.3,105.50127374050001,4.25,3.187,2020-03-01 00-27-21
2.85,3.23,2.09,3.28,105.50127374050001,4.187,3.187,2020-03-01 00-28-21
3.11,2.91,2.31,3.28,105.47557152200001,4.187,3.125,2020-03-01 00-29-21
2.77,3.25,2.35,3.25,105.50127374050001,4.187,3.125,2020-03-01 00-30-21
2.85,3.07,2.43,3.24,105.44986611250002,4.187,3.125,2020-03-01 00-31-21
2.91,3.03,1.97,3.26,105.44986611250002,4.187,3.125,2020-03-01 00-32-21
2.89,3.33,2.21,3.22,105.44986611250002,4.125,3.062,2020-03-01 00-33-20
2.95,3.37,2.21,3.2,105.3984457205,4.125,3.062,2020-03-01 00-34-21
3.03,3.11,2.35,3.17,105.42415751200002,4.125,3,2020-03-01 00-35-21
2.77,3.11,2.27,3.18,105.3984457205,4.125,3,2020-03-01 00-36-21
2.77,3.19,2.09,3.14,105.3984457205,4.062,2.937,2020-03-01 00-37-21
2.89,2.89,2.25,3.12,105.3984457205,4.062,3,2020-03-01 00-38-21
2.95,2.89,2.01,3.12,105.3984457205,4.062,2.937,2020-03-01 00-39-21
2.91,2.81,2.21,3.13,105.372730738,4.062,3,2020-03-01 00-40-21
2.51,3.07,2.09,3.12,105.3470125645,4.062,3,2020-03-01 00-41-21
2.91,3.19,2.35,3.14,105.3470125645,4.062,3,2020-03-01 00-42-21
2.95,3.29,1.97,3.18,105.2955666445,4.062,3.062,2020-03-01 00-43-21
2.85,3.11,2.09,3.2,105.269838898,4.062,3.062,2020-03-01 00-44-21
2.89,3.15,2.39,3.23,105.218373832,4.062,3.062,2020-03-01 00-45-21
3.03,3.11,2.21,3.26,105.1926365125,4.062,3.125,2020-03-01 00-46-19
2.81,3.15,2.35,3.24,105.1926365125,4.062,3.062,2020-03-01 00-47-21
2.95,3.25,2.89,3.24,105.16689600200002,4.125,3.125,2020-03-01 00-48-21
2.99,3.15,2.25,3.21,105.14115230050001,4.125,3.062,2020-03-01 00-49-21
