Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-41-15,11,16,40711,-1.2000000000000455,0.29,0.25,0.13,0.79,-0.5600000000000591,,-2.0462,0.187,-1.687
2020-02-27 15-42-15,11,16,40712,-1.2000000000000455,0.13,0.55,0.21,0.55,-0.6399999999999864,,-2.0462,0.187,-1.687
2020-02-27 15-43-15,11,16,40713,-0.7599999999999909,0.33,0.55,0.41,0.21,-0.5199999999999818,,-2.0462,0.125,-1.687
2020-02-27 15-44-15,11,16,40714,-1.32000000000005,0.47,0.13,0.29,0.83,-0.5199999999999818,,-2.0462,0.187,-1.687
2020-02-27 15-45-15,11,16,40715,-1.1200000000000045,0.51,0.21,0.25,0.41,-0.2799999999999727,,-2.0462,0.125,-1.687
2020-02-27 15-46-14,11,16,40716,-1.1599999999999682,0.47,0.71,0.29,0.59,-0.10000000000002274,,-2.0462,0.187,-1.687
2020-02-27 15-47-15,11,16,40717,-1.32000000000005,0.55,0.59,0.29,0.51,-0.8400000000000318,,-2.0462,0.187,-1.687
2020-02-27 15-48-15,11,16,40718,-1.2000000000000455,0.43,0.21,0.41,0.43,-0.8400000000000318,,-2.0462,0.187,-1.687
2020-02-27 15-49-15,11,16,40719,-1.32000000000005,0.43,0.55,0.43,0.63,-0.44000000000005457,,-2.0462,0.187,-1.687
2020-02-27 15-50-15,11,16,40720,-1.4200000000000728,0.21,0.51,0.33,0.67,-0.4800000000000182,,-2.0462,0.125,-1.687
2020-02-27 15-51-15,11,16,40721,-1.2000000000000455,0.41,-0.10000000000002274,0.47,0.37,-1.0400000000000773,,-2.0462,0.187,-1.75
2020-02-27 15-52-14,11,16,40722,-1.4600000000000364,0.55,0.43,0.13,0.51,-0.8799999999999955,,-2.0462,0.125,-1.812
2020-02-27 15-53-14,11,16,40723,-1.3799999999999955,0.37,0.33,0.59,0.21,-0.8400000000000318,,-2.0462,0.125,-1.812
