TempPlant2,TempPlant3,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1_4,Date
5.89,5.55,5.89,,-2.0462,2.25,0.937,2020-03-03 00-00-14
5.07,4.93,5.23,,-2.0462,2.25,0.937,2020-03-03 00-01-15
5.33,4.67,5.37,,-2.0462,2.25,0.875,2020-03-03 00-02-15
6.11,5.77,5.59,,-2.0462,2.25,0.875,2020-03-03 00-03-15
5.67,5.29,5.27,,-2.0462,2.187,0.937,2020-03-03 00-04-15
6.11,5.27,5.01,,-2.0462,2.25,0.937,2020-03-03 00-05-15
5.19,4.93,4.81,,-2.0462,2.187,0.937,2020-03-03 00-06-14
5.23,4.75,5.15,,-2.0462,2.187,0.937,2020-03-03 00-07-15
5.81,6.21,5.95,,-2.0462,2.187,0.875,2020-03-03 00-08-15
6.07,5.19,5.07,,-2.0462,2.187,0.875,2020-03-03 00-09-15
5.81,5.95,5.15,,-2.0462,2.187,0.875,2020-03-03 00-10-15
5.37,4.89,5.01,,-2.0462,2.187,0.875,2020-03-03 00-11-15
5.45,4.93,5.45,,-2.0462,2.187,0.875,2020-03-03 00-12-14
5.85,5.67,5.51,,-2.0462,2.187,0.812,2020-03-03 00-13-14
5.93,5.59,4.71,,-2.0462,2.187,0.812,2020-03-03 00-14-15
5.85,5.67,5.67,,-2.0462,2.187,0.875,2020-03-03 00-15-15
4.85,5.29,4.97,,-2.0462,2.125,0.812,2020-03-03 00-17-15
5.67,5.49,5.15,,-2.0462,2.125,0.812,2020-03-03 00-18-14
5.99,5.59,5.67,,-2.0462,2.125,0.812,2020-03-03 00-19-14
5.59,5.23,5.49,,-2.0462,2.125,0.875,2020-03-03 00-20-14
,,,,-2.0462,2.125,0.937,2020-03-03 00-21-15
4.63,3.81,4.15,,-2.0462,2.125,0.937,2020-03-03 00-22-12
4.45,3.55,4.23,,-2.0462,2.125,0.937,2020-03-03 00-22-15
4.59,3.97,4.49,,-2.0462,2.125,0.875,2020-03-03 00-23-15
5.19,4.97,5.01,,-2.0462,2.125,0.875,2020-03-03 00-24-15
5.77,5.23,5.01,,-2.0462,2.062,0.875,2020-03-03 00-25-15
4.57,4.97,4.93,,-2.0462,2.125,0.875,2020-03-03 00-26-14
5.41,5.27,5.71,,-2.0462,2.062,0.875,2020-03-03 00-27-15
