TempPlant1,TempPlant2,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1_6,Date
4.85,4.89,4.41,,-2.0462,5.562,4.125,2020-02-21 00-00-17
4.67,4.19,4.33,,-2.0462,5.562,4.187,2020-02-21 00-01-17
4.37,4.97,4.37,,-2.0462,5.562,4.187,2020-02-21 00-02-17
4.41,4.81,4.33,,-2.0462,5.562,4.187,2020-02-21 00-03-17
4.63,4.71,4.37,,-2.0462,5.562,4.25,2020-02-21 00-04-17
4.27,5.11,4.07,,-2.0462,5.625,4.187,2020-02-21 00-05-18
4.31,4.75,4.63,,-2.0462,5.625,4.187,2020-02-21 00-06-17
4.15,4.97,4.19,,-2.0462,5.625,4.187,2020-02-21 00-07-17
4.23,5.45,3.93,,-2.0462,5.625,4.187,2020-02-21 00-08-17
4.27,4.89,4.27,,-2.0462,5.625,4.125,2020-02-21 00-09-17
4.49,4.57,4.15,,-2.0462,5.625,4.125,2020-02-21 00-10-17
4.19,5.11,3.55,,-2.0462,5.625,4.125,2020-02-21 00-11-17
4.45,4.45,4.05,,-2.0462,5.625,4.062,2020-02-21 00-12-17
3.93,4.59,4.27,,-2.0462,5.562,4.062,2020-02-21 00-13-17
4.05,5.07,4.45,,-2.0462,5.562,4.062,2020-02-21 00-14-18
4.81,5.05,4.27,,-2.0462,5.625,4,2020-02-21 00-15-18
4.63,4.23,3.97,,-2.0462,5.562,4,2020-02-21 00-16-18
4.27,4.75,3.93,,-2.0462,5.562,4,2020-02-21 00-17-18
4.45,4.85,3.97,,-2.0462,5.5,4,2020-02-21 00-18-17
4.27,4.81,4.01,,-2.0462,5.562,4,2020-02-21 00-19-17
4.05,4.59,3.89,,-2.0462,5.5,4,2020-02-21 00-20-17
4.41,4.59,3.93,,-2.0462,5.5,4,2020-02-21 00-21-17
4.57,4.45,4.11,,-2.0462,5.5,4,2020-02-21 00-22-17
4.33,4.71,4.07,,-2.0462,5.5,3.937,2020-02-21 00-23-16
4.53,4.63,3.63,,-2.0462,5.5,3.937,2020-02-21 00-24-17
3.97,4.85,3.93,,-2.0462,5.437,3.937,2020-02-21 00-25-18
4.79,4.53,4.11,,-2.0462,5.5,4,2020-02-21 00-26-17
4.67,4.71,3.93,,-2.0462,5.437,4,2020-02-21 00-27-17
4.07,4.81,4.05,,-2.0462,5.5,4,2020-02-21 00-28-18
4.37,5.27,3.85,,-2.0462,5.437,4,2020-02-21 00-29-18
4.79,4.45,4.19,,-2.0462,5.5,4,2020-02-21 00-30-18
4.41,4.79,4.33,,-2.0462,5.5,4,2020-02-21 00-31-18
4.75,4.67,4.41,,-2.0462,5.5,4,2020-02-21 00-32-18
4.37,4.49,4.05,,-2.0462,5.562,4,2020-02-21 00-33-17
4.31,5.23,4.45,,-2.0462,5.5,4.062,2020-02-21 00-34-17
4.23,4.67,3.85,,-2.0462,5.562,4,2020-02-21 00-35-17
4.81,4.63,4.05,,-2.0462,5.5,4.062,2020-02-21 00-36-17
4.23,4.89,4.41,,-2.0462,5.562,4.062,2020-02-21 00-37-17
4.15,5.01,3.97,,-2.0462,5.562,4.062,2020-02-21 00-38-17
3.97,5.23,3.93,,-2.0462,5.562,4,2020-02-21 00-39-17
4.63,4.63,4.41,,-2.0462,5.562,4,2020-02-21 00-40-18
4.41,5.41,3.81,,-2.0462,5.625,4.062,2020-02-21 00-41-17
4.05,4.93,3.97,,-2.0462,5.625,4.062,2020-02-21 00-42-17
4.63,4.59,3.93,,-2.0462,5.625,4,2020-02-21 00-43-18
4.05,4.81,4.15,,-2.0462,5.625,3.937,2020-02-21 00-44-18
4.01,5.01,3.79,,-2.0462,5.687,3.937,2020-02-21 00-45-18
3.89,4.59,3.55,,-2.0462,5.687,3.812,2020-02-21 00-46-18
3.97,4.93,3.89,,-2.0462,5.687,3.75,2020-02-21 00-47-18
3.93,4.79,3.71,,-2.0462,5.687,3.687,2020-02-21 00-48-17
4.31,4.85,4.27,,-2.0462,5.687,3.625,2020-02-21 00-49-17
4.15,5.07,3.97,,-2.0462,5.687,3.562,2020-02-21 00-50-17
4.27,4.57,3.75,,-2.0462,5.75,3.562,2020-02-21 00-51-17
4.27,4.23,3.49,,-2.0462,5.75,3.562,2020-02-21 00-52-17
4.45,4.71,3.89,,-2.0462,5.75,3.562,2020-02-21 00-53-17
4.15,4.33,3.63,,-2.0462,5.75,3.562,2020-02-21 00-54-17
3.85,4.19,4.07,,-2.0462,5.812,3.562,2020-02-21 00-55-18
4.37,4.49,4.15,,-2.0462,5.75,3.562,2020-02-21 00-56-17
4.23,4.85,4.01,,-2.0462,5.75,3.562,2020-02-21 00-57-18
4.53,4.79,3.41,,-2.0462,5.75,3.625,2020-02-21 00-58-18
4.37,4.59,3.79,,-2.0462,5.687,3.625,2020-02-21 00-59-18
0,0,0,0,-2.0462,5.75,3.625,2020-02-21 01-00-17
4.81,4.57,3.97,,-2.0462,5.75,3.625,2020-02-21 01-00-20
4.33,4.49,3.81,,-2.0462,5.75,3.687,2020-02-21 01-01-18
3.85,4.59,3.89,,-2.0462,5.75,3.687,2020-02-21 01-02-17
4.01,5.05,3.97,,-2.0462,5.812,3.687,2020-02-21 01-03-17
4.19,4.81,3.71,,-2.0462,5.812,3.75,2020-02-21 01-04-17
4.01,4.85,3.85,,-2.0462,5.812,3.75,2020-02-21 01-05-17
4.11,4.81,4.05,,-2.0462,5.875,3.812,2020-02-21 01-07-18
4.11,4.85,4.19,,-2.0462,5.937,3.75,2020-02-21 01-08-18
4.19,5.07,3.81,,-2.0462,5.937,3.75,2020-02-21 01-09-17
4.05,4.57,3.89,,-2.0462,5.937,3.75,2020-02-21 01-10-17
3.85,4.53,3.93,,-2.0462,6,3.75,2020-02-21 01-11-17
3.93,4.45,3.89,,-2.0462,6,3.75,2020-02-21 01-12-16
4.11,4.53,3.81,,-2.0462,6,3.812,2020-02-21 01-13-17
4.75,4.67,3.89,,-2.0462,6,3.812,2020-02-21 01-14-17
4.01,4.97,4.05,,-2.0462,6,3.812,2020-02-21 01-15-18
4.23,4.93,4.01,,-2.0462,6,3.812,2020-02-21 01-16-17
4.11,4.41,4.15,,-2.0462,6,3.812,2020-02-21 01-17-17
4.27,4.93,3.67,,-2.0462,6,3.812,2020-02-21 01-18-18
4.23,4.75,4.01,,-2.0462,6.062,3.812,2020-02-21 01-19-18
4.31,4.59,4.33,,-2.0462,6.062,3.812,2020-02-21 01-20-18
5.15,4.75,3.85,,-2.0462,6.062,3.937,2020-02-21 01-21-18
4.67,5.23,4.07,,-2.0462,6.062,3.937,2020-02-21 01-22-18
4.01,4.81,4.01,,-2.0462,6.062,3.937,2020-02-21 01-23-17
4.33,5.11,4.01,,-2.0462,6.062,4,2020-02-21 01-24-17
4.19,4.89,3.89,,-2.0462,6.062,4,2020-02-21 01-25-17
4.33,5.15,4.19,,-2.0462,6.062,4,2020-02-21 01-26-17
4.27,5.01,4.15,,-2.0462,6.062,4,2020-02-21 01-27-17
4.19,4.79,3.75,,-2.0462,6.062,4,2020-02-21 01-28-17
4.15,5.07,4.23,,-2.0462,6.062,4,2020-02-21 01-29-17
3.79,5.15,3.93,,-2.0462,6,3.875,2020-02-21 01-30-18
4.85,4.41,3.97,,-2.0462,6,3.812,2020-02-21 01-31-17
4.23,4.79,4.05,,-2.0462,6.062,3.812,2020-02-21 01-32-17
4.41,5.49,3.93,,-2.0462,6.062,3.875,2020-02-21 01-33-18
3.93,4.97,3.81,,-2.0462,6.062,3.875,2020-02-21 01-34-18
4.53,5.01,3.81,,-2.0462,6.062,3.875,2020-02-21 01-35-17
4.11,4.79,4.33,,-2.0462,6.062,3.937,2020-02-21 01-36-18
4.37,4.89,3.89,,-2.0462,6.062,3.937,2020-02-21 01-37-17
4.41,4.59,3.89,,-2.0462,6.062,3.937,2020-02-21 01-38-17
4.11,4.97,4.15,,-2.0462,6.062,3.875,2020-02-21 01-39-17
4.53,4.97,4.07,,-2.0462,6.062,4,2020-02-21 01-40-17
4.11,5.07,4.19,,-2.0462,6.062,4.062,2020-02-21 01-41-17
4.27,5.15,4.23,,-2.0462,6.062,4.062,2020-02-21 01-42-17
4.45,4.93,4.67,,-2.0462,6.062,4.125,2020-02-21 01-43-17
4.31,4.75,4.15,,-2.0462,6,4.187,2020-02-21 01-44-17
4.27,5.27,4.27,,-2.0462,6.062,4.25,2020-02-21 01-45-18
5.29,4.75,3.89,,-2.0462,6.062,4.312,2020-02-21 01-46-17
4.49,5.15,4.19,,-2.0462,6.062,4.375,2020-02-21 01-48-18
4.71,5.45,4.49,,-2.0462,6.062,4.437,2020-02-21 01-49-18
4.53,5.29,4.67,,-2.0462,6.062,4.5,2020-02-21 01-50-17
4.85,5.33,4.41,,-2.0462,6.062,4.562,2020-02-21 01-51-18
5.27,5.33,4.63,,-2.0462,6.062,4.687,2020-02-21 01-52-17
4.67,5.85,4.97,,-2.0462,6.062,4.812,2020-02-21 01-53-17
4.89,5.37,4.85,,-2.0462,6.125,4.812,2020-02-21 01-54-17
4.67,5.11,4.67,,-2.0462,6.125,4.812,2020-02-21 01-55-17
4.59,5.49,4.27,,-2.0462,6.125,4.75,2020-02-21 01-56-17
4.79,5.59,4.33,,-2.0462,6.125,4.625,2020-02-21 01-57-17
4.71,5.29,4.53,,-2.0462,6.125,4.625,2020-02-21 01-58-17
4.59,5.41,4.45,,-2.0462,6.125,4.625,2020-02-21 01-59-17
4.37,4.53,4.31,,-2.0462,6.125,4.625,2020-02-21 02-00-17
4.41,5.51,4.33,,-2.0462,6.125,4.437,2020-02-21 02-01-18
4.57,5.19,4.19,,-2.0462,6.187,4.375,2020-02-21 02-02-18
4.27,5.05,4.53,,-2.0462,6.125,4.375,2020-02-21 02-03-18
4.59,5.05,4.53,,-2.0462,6.125,4.437,2020-02-21 02-04-17
4.67,5.37,4.57,,-2.0462,6.125,4.5,2020-02-21 02-05-17
4.37,5.37,4.37,,-2.0462,6.062,4.5,2020-02-21 02-06-17
4.59,5.51,4.57,,-2.0462,6.062,4.5,2020-02-21 02-07-17
4.33,5.01,4.49,,-2.0462,6.062,4.562,2020-02-21 02-08-17
4.59,5.37,4.41,,-2.0462,6.062,4.5,2020-02-21 02-09-17
4.63,4.93,4.37,,-2.0462,6.125,4.5,2020-02-21 02-10-17
4.49,5.41,4.45,,-2.0462,6.062,4.5,2020-02-21 02-11-17
4.33,5.01,4.31,,-2.0462,6.125,4.437,2020-02-21 02-12-17
4.19,4.89,4.37,,-2.0462,6.125,4.312,2020-02-21 02-14-18
3.85,5.23,4.01,,-2.0462,6.062,4.187,2020-02-21 02-15-18
4.01,4.75,4.27,,-2.0462,6.062,4.062,2020-02-21 02-16-18
4.53,4.97,4.15,,-2.0462,6.062,4.062,2020-02-21 02-17-18
4.49,5.19,3.97,,-2.0462,6.062,4.062,2020-02-21 02-18-17
4.75,5.27,4.33,,-2.0462,6,4.187,2020-02-21 02-19-17
5.33,5.29,4.85,,-2.0462,6,4.375,2020-02-21 02-20-17
4.79,5.45,4.49,,-2.0462,6.062,4.562,2020-02-21 02-21-17
4.59,5.33,4.85,,-2.0462,6,4.625,2020-02-21 02-22-17
4.67,5.23,4.57,,-2.0462,6.062,4.625,2020-02-21 02-23-17
4.59,5.55,4.49,,-2.0462,6.062,4.625,2020-02-21 02-24-17
4.81,5.49,4.85,,-2.0462,6.062,4.687,2020-02-21 02-25-18
4.53,5.23,4.33,,-2.0462,6.062,4.687,2020-02-21 02-26-17
5.07,5.05,4.41,,-2.0462,6.125,4.687,2020-02-21 02-27-17
4.53,5.59,4.37,,-2.0462,6.125,4.687,2020-02-21 02-28-18
4.33,5.23,4.53,,-2.0462,6.125,4.562,2020-02-21 02-29-18
4.41,5.33,4.53,,-2.0462,6.125,4.562,2020-02-21 02-30-18
4.71,5.33,4.67,,-2.0462,6.187,4.562,2020-02-21 02-31-18
4.07,4.85,3.93,,-2.0462,6.187,4.375,2020-02-21 02-32-18
4.07,5.29,3.71,,-2.0462,6.187,4.187,2020-02-21 02-33-17
5.07,4.89,4.45,,-2.0462,6.125,4.187,2020-02-21 02-34-17
4.27,5.11,4.41,,-2.0462,6.125,4.25,2020-02-21 02-35-17
4.19,4.85,4.27,,-2.0462,6.125,4.25,2020-02-21 02-36-17
4.75,5.11,4.19,,-2.0462,6.062,4.125,2020-02-21 02-37-17
4.19,4.89,4.15,,-2.0462,6.062,4.062,2020-02-21 02-38-17
3.97,5.19,4.11,,-2.0462,6.125,4.062,2020-02-21 02-39-17
4.71,4.49,3.89,,-2.0462,6.125,3.937,2020-02-21 02-40-18
3.63,5.23,4.07,,-2.0462,6.125,3.937,2020-02-21 02-41-17
4.37,4.81,4.27,,-2.0462,6.125,3.937,2020-02-21 02-42-18
4.33,4.41,4.23,,-2.0462,6.125,3.937,2020-02-21 02-43-18
4.23,4.75,4.33,,-2.0462,6.125,3.937,2020-02-21 02-44-18
4.59,4.89,4.15,,-2.0462,6.125,3.937,2020-02-21 02-45-17
4.23,4.79,4.23,,-2.0462,6.125,3.937,2020-02-21 02-46-17
4.41,4.75,4.19,,-2.0462,6.125,3.937,2020-02-21 02-47-17
4.63,4.63,3.81,,-2.0462,6.125,3.937,2020-02-21 02-48-17
4.41,4.33,4.15,,-2.0462,6.125,3.937,2020-02-21 02-49-17
5.01,4.85,4.37,,-2.0462,6.125,3.937,2020-02-21 02-50-17
5.19,4.19,4.31,,-2.0462,6.125,4,2020-02-21 02-51-17
5.19,4.53,4.23,,-2.0462,6.125,4.062,2020-02-21 02-52-17
4.37,5.05,3.85,,-2.0462,6.125,4.062,2020-02-21 02-53-17
4.31,5.01,4.27,,-2.0462,6.187,4.062,2020-02-21 02-54-18
4.97,4.81,3.63,,-2.0462,6.187,4.062,2020-02-21 02-55-18
4.63,4.75,4.01,,-2.0462,6.187,4.062,2020-02-21 02-56-18
4.33,4.41,4.31,,-2.0462,6.25,4.062,2020-02-21 02-57-18
4.27,4.45,4.19,,-2.0462,6.187,4.062,2020-02-21 02-58-17
5.05,4.85,4.41,,-2.0462,6.187,4.062,2020-02-21 02-59-17
4.37,4.93,4.37,,-2.0462,6.187,4.125,2020-02-21 03-00-17
4.71,5.27,4.57,,-2.0462,6.125,4.25,2020-02-21 03-01-17
5.07,5.01,4.63,,-2.0462,6.125,4.375,2020-02-21 03-02-17
5.11,4.75,4.81,,-2.0462,6.125,4.5,2020-02-21 03-03-16
4.79,5.45,4.81,,-2.0462,6.125,4.625,2020-02-21 03-04-17
4.45,5.41,4.63,,-2.0462,6.187,4.687,2020-02-21 03-05-18
4.75,5.15,4.45,,-2.0462,6.187,4.75,2020-02-21 03-06-17
4.57,5.27,4.45,,-2.0462,6.25,4.687,2020-02-21 03-07-17
4.89,5.55,4.63,,-2.0462,6.187,4.625,2020-02-21 03-08-18
4.57,5.37,4.41,,-2.0462,6.25,4.687,2020-02-21 03-09-18
4.63,5.19,4.33,,-2.0462,6.25,4.75,2020-02-21 03-10-17
4.45,5.45,4.53,,-2.0462,6.312,4.812,2020-02-21 03-11-18
4.63,5.29,4.19,,-2.0462,6.312,4.875,2020-02-21 03-12-17
4.71,4.93,4.67,,-2.0462,6.375,4.875,2020-02-21 03-13-17
4.37,5.51,4.53,,-2.0462,6.375,4.875,2020-02-21 03-14-17
4.97,4.89,4.57,,-2.0462,6.437,4.812,2020-02-21 03-15-17
4.19,5.05,4.63,,-2.0462,6.437,4.812,2020-02-21 03-16-17
4.19,5.37,4.49,,-2.0462,6.5,4.812,2020-02-21 03-17-17
5.15,4.75,4.37,,-2.0462,6.5,4.75,2020-02-21 03-18-17
4.53,5.23,4.19,,-2.0462,6.5,4.75,2020-02-21 03-19-17
4.01,4.49,4.33,,-2.0462,6.562,4.687,2020-02-21 03-20-18
4.53,5.37,4.53,,-2.0462,6.625,4.75,2020-02-21 03-21-17
4.75,4.85,4.41,,-2.0462,6.562,4.75,2020-02-21 03-22-18
4.67,4.85,4.57,,-2.0462,6.625,4.687,2020-02-21 03-23-18
5.05,4.33,4.19,,-2.0462,6.625,4.75,2020-02-21 03-24-18
