Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp
2020-02-01 14-00-14,10,16,33692,,,,,,,,,5.125
2020-02-01 14-00-14,10,17,,112.39,122.73,125.53,,,,,,5.125
2020-02-01 14-00-14,10,18,,112.39,122.73,125.53,47.04,40.95,40.96,,,7.187
2020-02-01 14-00-15,11,16,5310,,,,,,,,,5.125
2020-02-01 14-00-15,11,17,,9.19,8.29,9.39,,,,,,5.125
2020-02-01 14-00-15,11,18,,9.19,8.29,9.39,7.91,7.05,7.09,,,7.187
2020-02-01 14-00-15,11,19,,9.19,8.29,9.39,7.91,7.05,7.09,-39.389999999999986,-2.0462,7.187
2020-02-01 14-00-15,12,16,13946,,,,,,,,,5.125
2020-02-01 14-00-15,12,17,,6.91,6.07,7.23,,,,,,5.125
2020-02-01 14-00-15,12,18,,6.91,6.07,7.23,8.01,8.19,7.77,,,7.187
2020-02-01 14-00-15,12,19,,6.91,6.07,7.23,8.01,8.19,7.77,6.56,20.0944898,7.187
2020-02-01 14-00-16,13,16,15022,,,,,,,,,5.125
2020-02-01 14-00-16,13,17,,8.75,8.93,9.71,,,,,,5.125
2020-02-01 14-00-16,13,18,,8.75,8.93,9.71,8.61,7.83,7.59,,,7.187
2020-02-01 14-00-16,13,19,,8.75,8.93,9.71,8.61,7.83,7.59,6.88,93.74854761800002,7.187
2020-02-01 14-00-16,14,16,14067,,,,,,,,,5.125
2020-02-01 14-00-16,14,17,,7.09,9.61,9.11,,,,,,5.125
2020-02-01 14-00-16,14,18,,7.09,9.61,9.11,10.19,7.83,7.91,,,7.187
2020-02-01 14-00-16,14,19,,7.09,9.61,9.11,10.19,7.83,7.91,7.26,101.55791661250001,7.187
2020-02-01 14-00-17,15,16,0,,,,,,,,,5.125
2020-02-01 14-00-17,15,17,,0.0,0.0,0.0,,,,,,5.125
2020-02-01 14-00-17,15,18,,0.0,0.0,0.0,0.0,0.0,0.0,,,7.187
2020-02-01 14-00-17,15,19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0462,7.187
2020-02-01 14-00-17,16,16,7424,,,,,,,,,5.125
2020-02-01 14-00-17,16,17,,8.01,8.05,6.83,,,,,,5.125
2020-02-01 14-00-17,16,18,,8.01,8.05,6.83,7.27,7.69,7.05,,,7.187
2020-02-01 14-00-17,16,19,,8.01,8.05,6.83,7.27,7.69,7.05,6.34,95.7198503125,7.187
2020-02-01 14-00-18,17,16,7193,,,,,,,,,5.125
2020-02-01 14-00-18,17,17,,8.69,9.77,8.01,,,,,,5.125
2020-02-01 14-00-18,17,18,,8.69,9.77,8.01,6.65,7.91,7.79,,,7.187
2020-02-01 14-00-18,17,19,,8.69,9.77,8.01,6.65,7.91,7.79,7.1,103.149304712,7.187
2020-02-01 14-00-18,18,16,6328,,,,,,,,,5.125
2020-02-01 14-00-18,18,17,,7.27,7.87,7.09,,,,,,5.125
2020-02-01 14-00-18,18,18,,7.27,7.87,7.09,6.91,7.55,7.27,,,7.187
