TempPlant2,TempPlant3,TempPlant4,Ambient_1_4
-0.6800000000000637,-1,-1.240000000000009,-1.562
-0.6000000000000227,-1.0400000000000773,-1.2799999999999727,-1.625
-0.5600000000000591,-0.8799999999999955,-1.3799999999999955,-1.625
-0.39999999999997726,-0.9600000000000364,-1.5,-1.687
-0.8799999999999955,-1.080000000000041,-1.5400000000000773,-1.75
-0.8400000000000318,-0.7200000000000273,-1.4200000000000728,-1.75
-0.8000000000000682,-1.240000000000009,-1.2799999999999727,-1.687
-0.6000000000000227,-1.0400000000000773,-1.5400000000000773,-1.75
-0.6800000000000637,-1.1200000000000045,-1.4600000000000364,-1.75
-0.5600000000000591,-1,-1.2000000000000455,-1.75
-0.6000000000000227,-0.8799999999999955,-1.1599999999999682,-1.687
-0.6399999999999864,-0.8000000000000682,-1.4200000000000728,-1.625
-0.44000000000005457,-0.9600000000000364,-1.580000000000041,-1.687
-0.44000000000005457,-0.8000000000000682,-1.4200000000000728,-1.687
-0.5600000000000591,-1.0400000000000773,-1.6599999999999682,-1.625
-0.6800000000000637,-1,-1.32000000000005,-1.687
-0.7200000000000273,-0.7200000000000273,-1.3400000000000318,-1.562
-0.6399999999999864,-0.9600000000000364,-1.580000000000041,-1.562
-0.32000000000005,-0.8400000000000318,-1.4200000000000728,-1.562
-0.8000000000000682,-0.5600000000000591,-1.4200000000000728,-1.562
-0.5600000000000591,-0.9200000000000728,-1.3799999999999955,-1.562
-0.6000000000000227,-0.9200000000000728,-1.1599999999999682,-1.5
-0.8000000000000682,-1.1200000000000045,-1.3799999999999955,-1.562
-0.7599999999999909,-1.0400000000000773,-1.1200000000000045,-1.562
-0.6000000000000227,-1.32000000000005,-1.32000000000005,-1.562
-0.6000000000000227,-1.32000000000005,-1.5400000000000773,-1.687
-0.7599999999999909,-0.6800000000000637,-1.1599999999999682,-1.687
-0.8799999999999955,-1.080000000000041,-1.5,-1.75
-0.6399999999999864,-0.9600000000000364,-1.3400000000000318,-1.75
-0.36000000000001364,-1.1200000000000045,-1.5400000000000773,-1.75
-0.8799999999999955,-1.1599999999999682,-1.3799999999999955,-1.75
-0.5600000000000591,-1.2000000000000455,-1.4600000000000364,-1.75
-0.9600000000000364,-1.3799999999999955,-1.4200000000000728,-1.687
-0.9200000000000728,-1,-1.580000000000041,-1.75
-0.9600000000000364,-1.1599999999999682,-1.3400000000000318,-1.687
-0.7200000000000273,-1.1599999999999682,-1.240000000000009,-1.687
-0.9200000000000728,-1.0400000000000773,-1.4200000000000728,-1.687
-0.9200000000000728,-1.1200000000000045,-1.4600000000000364,-1.75
-0.8799999999999955,-1.1599999999999682,-1.4600000000000364,-1.687
-0.8799999999999955,-1.080000000000041,-1.580000000000041,-1.687
-0.5199999999999818,-1.2000000000000455,-1.1200000000000045,-1.687
-0.7200000000000273,-1.1200000000000045,-1.3799999999999955,-1.687
-0.6399999999999864,-0.9600000000000364,-1.5,-1.687
-0.9200000000000728,-0.8000000000000682,-1.3400000000000318,-1.687
-0.8799999999999955,-1,-1.3799999999999955,-1.687
-0.6399999999999864,-0.9200000000000728,-1.3799999999999955,-1.687
-1.0400000000000773,-1,-1.3799999999999955,-1.687
-0.9200000000000728,-1.2000000000000455,-1.4600000000000364,-1.687
-0.9600000000000364,-0.9600000000000364,-1.580000000000041,-1.75
-0.7599999999999909,-1.0400000000000773,-1.4600000000000364,-1.812
-0.8799999999999955,-1.240000000000009,-1.7799999999999727,-1.812
-0.6399999999999864,-1.080000000000041,-1.4600000000000364,-1.812
-0.9600000000000364,-1.2799999999999727,-1.2799999999999727,-1.75
-0.7200000000000273,-1.2799999999999727,-1.240000000000009,-1.75
-0.9200000000000728,-1,-1.240000000000009,-1.687
-0.9600000000000364,-1.080000000000041,-1.5,-1.75
-0.9200000000000728,-1.1200000000000045,-1.4200000000000728,-1.687
-0.6399999999999864,-1.1599999999999682,-1.080000000000041,-1.687
-0.36000000000001364,-0.9600000000000364,-1.2799999999999727,-1.625
-0.7200000000000273,-1.1599999999999682,-1.240000000000009,-1.562
